"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Conference Paper","Zhang G,Wang S","A Certificateless Signature and Group Signature Schemes against Malicious PKG","","2008","","","334–341","IEEE Computer Society","USA","Proceedings of the 22nd International Conference on Advanced Information Networking and Applications","","2008","9780769530956","","https://doi-org.proxy.findit.cvt.dk/10.1109/AINA.2008.84;http://dx.doi.org/10.1109/AINA.2008.84","10.1109/AINA.2008.84","Identity-based cryptosystem has many advantages over PKI-based cryptosystem in key distribution, but key escrow is always an inherent drawback. In order to solve the problem, certificateless public key cryptography was introduced by Al-Riyami and Paterson in 8. In this paper, we first introduce a certificateless signature scheme secure against both malicious PKG attack and DODattack without random oracle, which is the first scheme satisfying theses properties in the literature. Based on the certificateless signature scheme, we also present a constant-size group signature scheme against malicious group manager.","malicious PKG, certificateless signature, group signature","","AINA '08"
"Journal Article","Cheng L,Wen Q","Cryptanalysis and Improvement of a Certificateless Partially Blind Signature","IET Information Security","2015","9","6","380–386","John Wiley & Sons, Inc.","USA","","","2015-11","","","https://doi-org.proxy.findit.cvt.dk/10.1049/iet-ifs.2014.0293;http://dx.doi.org/10.1049/iet-ifs.2014.0293","10.1049/iet-ifs.2014.0293","Partially blind signature is an important technique in secure electronic cash (e‐cash) system. The first concrete certificateless partially blind signature (CLPBS) scheme for e‐cash was constructed in 2011. Recently it was found that this construction had a security weakness and a rescued scheme was given. Unfortunately, the formal security proof was not given. In this study, the authors first give cryptanalysis of their rescued scheme. They demonstrate that a malicious user in their rescued scheme can forge a signature on any message by replacing the signer's public key. In an e‐cash system, blind signatures issued by the bank are viewed as e‐cash. Once they apply their scheme to an untraceable e‐cash system, a malicious user can forge valid electronic coins (i.e. valid signatures) without being detected by the bank. It will result in loss of the bank. Then, they propose a newly improved CLPBS scheme which achieves the strongest security level and has higher computational efficiency than the rescued scheme published earlier. Finally, they give an example of potential application to e‐cash systems using their scheme.","electronic coins, CLPBS scheme, security weakness, electronic money, public key cryptography, digital signatures, cryptanalysis, rescued scheme, certificateless partially blind signature scheme, signer public key, formal security proof, secure electronic cash system, e‐cash system","",""
"Conference Paper","Pradeep A,Paracha MT,Bhowmick P,Davanian A,Razaghpanah A,Chung T,Lindorfer M,Vallina-Rodriguez N,Levin D,Choffnes D","A Comparative Analysis of Certificate Pinning in Android & IOS","","2022","","","605–618","Association for Computing Machinery","New York, NY, USA","Proceedings of the 22nd ACM Internet Measurement Conference","Nice, France","2022","9781450392594","","https://doi-org.proxy.findit.cvt.dk/10.1145/3517745.3561439;http://dx.doi.org/10.1145/3517745.3561439","10.1145/3517745.3561439","TLS certificate pinning is a security mechanism used by applications (apps) to protect their network traffic against malicious certificate authorities (CAs), in-path monitoring, and other methods of TLS tampering. Pinning can provide enhanced security to defend against malicious third-party access to sensitive data in transit (e.g., to protect sensitive banking and health care information), but can also hide an app's personal data collection from users and auditors. Prior studies found pinning was rarely used in the Android ecosystem, except in high-profile, security-sensitive apps; and, little is known about its usage on iOS and across mobile platforms.In this paper, we thoroughly investigate the use of certificate pinning on Android and iOS. We collect 5,079 unique apps from the two official app stores: 575 common apps, 1,000 popular apps each, and 1,000 randomly selected apps each. We develop novel, cross-platform, static and dynamic analysis techniques to detect the usage of certificate pinning. Thus, our study offers a more comprehensive understanding of certificate pinning than previous studies.We find certificate pinning as much as 4 times more widely adopted than reported in recent studies. More specifically, we find that 0.9% to 8% of Android apps and 2.5% to 11% of iOS apps use certificate pinning at run time (depending on the aforementioned sets of apps). We then investigate which categories of apps most frequently use pinning (e.g., apps in the ""finance"" category), which destinations are typically pinned (e.g., first-party destinations vs those used by third-party libraries), which certificates are pinned and how these are pinned (e.g., CA vs leaf certificates), and the connection security for pinned connections vs unpinned ones (e.g., the use of weak ciphers or improper certificate validation). Lastly, we investigate how many pinned connections are amenable to binary instrumentation to reveal the contents of their connections; for those that are, we analyze the data sent over pinned connections to understand what is protected by pinning.","app pinning, certificate pinning, measurement techniques, transport layer security, network security, tls","","IMC '22"
"Journal Article","Cheng L,Wen Q,Jin Z,Zhang H","Cryptanalysis and Improvement of a Certificateless Encryption Scheme in the Standard Model","Front. Comput. Sci.","2014","8","1","163–173","Springer-Verlag","Berlin, Heidelberg","","","2014-02","","2095-2228","https://doi-org.proxy.findit.cvt.dk/10.1007/s11704-013-3090-6;http://dx.doi.org/10.1007/s11704-013-3090-6","10.1007/s11704-013-3090-6","Certificateless public key cryptography eliminates inherent key escrow problem in identity-based cryptography, and does not yet requires certificates as in the traditional public key infrastructure. In this paper, we give crypt-analysis to Hwang et al.'s certificateless encryption scheme which is the first concrete certificateless encryption scheme that can be proved to be secure against ""malicious-but-passive"" key generation center (KGC) attack in the standard model. Their scheme is proved to be insecure even in a weaker security model called ""honest-but-curious"" KGC attack model. We then propose an improved scheme which is really secure against ""malicious-but-passive"" KGC attack in the standard model.","certificateless public key cryptography, standard model, provable security","",""
"Journal Article","Lu Y,Li J","Improved Certificate‐based Signature Scheme without Random Oracles","IET Information Security","2016","10","2","80–86","John Wiley & Sons, Inc.","USA","","","2016-03","","","https://doi-org.proxy.findit.cvt.dk/10.1049/iet-ifs.2015.0188;http://dx.doi.org/10.1049/iet-ifs.2015.0188","10.1049/iet-ifs.2015.0188","Certificate‐based cryptography is a useful primitive that combines traditional public key cryptography (PKC) and identity‐based cryptography (IBC). It not only solves the key escrow problem inherent in IBC, but also simplifies the certificate problem in traditional PKC. So far, several certificate‐based signature (CBS) schemes have been proposed in the literature. However, none of them consider the malicious certificate authority (CA) attack. Cryptanalysis shows that two previous CBS schemes without random oracles fail in achieving unforgeability under such attack. To overcome the security weakness in these schemes, the authors propose an improved CBS scheme that can withstand malicious CA attacks. They prove it to be existentially unforgeable against chosen message attacks under the computational Diffie–Hellman assumption in the standard model. Compared with the previous standard‐model CBS schemes, the proposed scheme has obvious advantages in both the computation and communication efficiency.","improved certificate‐based signature scheme, computational Diffie–Hellman assumption, digital signatures, certificate‐based cryptography, public key cryptography, malicious certificate authority attack, identity‐based cryptography, public key cryptography","",""
"Journal Article","Yang W,Weng J,Yang A,Xie C,Yang Y","Notes on a Provably-Secure Certificate-Based Encryption against Malicious CA Attacks","Inf. Sci.","2018","463","C","86–91","Elsevier Science Inc.","USA","","","2018-10","","0020-0255","https://doi-org.proxy.findit.cvt.dk/10.1016/j.ins.2018.06.049;http://dx.doi.org/10.1016/j.ins.2018.06.049","10.1016/j.ins.2018.06.049","","Malicious CA attack, Certificate-based encryption, Bilinear pairings, Certification authority attack, Standard model, Chosen ciphertext attack","",""
"Conference Paper","Yang B,Yang Z,Liu N,Li S","Further Attacks and Improvement of a Certificateless Signature Scheme","","2015","","","340–344","IEEE Computer Society","USA","Proceedings of the 2015 11th International Conference on Computational Intelligence and Security (CIS)","","2015","9781467386609","","https://doi-org.proxy.findit.cvt.dk/10.1109/CIS.2015.89;http://dx.doi.org/10.1109/CIS.2015.89","10.1109/CIS.2015.89","Certificate less public key cryptography is an attractive paradigm since it eliminates the use of certificates in traditional public key cryptography and alleviates the inherent key escrow problem in identity-based cryptography. Recently, Xiong et al. Proposed a certificate less signature scheme and proved that their scheme is existentially unforgeable against adaptive chosen message attack under the random oracle model. He et al. Pointed out that Xiong et al.'s scheme is insecure against the Type II adversary. But, their forged signatures are not random, and their improved scheme has the same security defects as Xiong et al.'s scheme. In this paper, we present two malicious-but-passive KGC attack methods on Xiong et al.'s scheme and our results show that their scheme is insecure against malicious-but-passive KGC attack. We also propose an improved scheme which is secure against the super Type I adversary and super Type II adversary.","","","CIS '15"
"Conference Paper","Au MH,Mu Y,Chen J,Wong DS,Liu JK,Yang G","Malicious KGC Attacks in Certificateless Cryptography","","2007","","","302–311","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2nd ACM Symposium on Information, Computer and Communications Security","Singapore","2007","9781595935748","","https://doi-org.proxy.findit.cvt.dk/10.1145/1229285.1266997;http://dx.doi.org/10.1145/1229285.1266997","10.1145/1229285.1266997","Identity-based cryptosystems have an inherent key escrow issue, that is, the Key Generation Center (KGC) always knows user secret key. If the KGC is malicious, it can always impersonate the user. Certificateless cryptography, introduced by Al-Riyami and Paterson in 2003, is intended to solve this problem. However, in all the previously proposed certificateless schemes, it is always assumed that the malicious KGC starts launching attacks (so-called Type II attacks) only after it has generated a master public/secret key pair honestly. In this paper, we propose new security models that remove this assumption for both certificateless signature and encryption schemes. Under the new models, we show that a class of certificateless encryption and signature schemes proposed previously are insecure. These schemes still suffer from the key escrow problem. On the other side, we also give new proofs to show that there are two generic constructions, one for certificateless signature and the other for certificateless encryption, proposed recently that are secure under our new models.","","","ASIACCS '07"
"Conference Paper","Rabadi NM","Anonymous Group Implicit Certificate Scheme","","2010","","","329–330","IEEE Press","Las Vegas, Nevada, USA","Proceedings of the 7th IEEE Conference on Consumer Communications and Networking Conference","","2010","9781424451753","","","","We propose an anonymous identity-based public key group implicit certificate scheme to preserve the anonymity of mobile users in a communication network. The use of a standard public key certificate in a wireless communication network will allow unauthorized entities, who are listening to the communication channel, to identify and trace movements and locations of a mobile user using the user's unique public key in the certificate. The disclosure of such information may raise privacy concerns. In our proposed anonymous identity-based public key group implicit certificate scheme, recipients of a broadcasted message can authenticate the transmitter and validate the integrity of the message without identifying the transmitter. In case of a dispute and malicious activities, the identity of the mobile user who broadcasted the disputed message can be revealed only by a trusted authority.","implicit certificate, optimal mail certificate, privacy, security, anonymity","","CCNC'10"
"Conference Paper","Barbera MV,Mei A","Personal Marks and Community Certificates: Detecting Clones in Wireless Mobile Social Networks","","2012","","","83–91","IEEE Computer Society","USA","Proceedings of the 2012 IEEE 8th International Conference on Distributed Computing in Sensor Systems","","2012","9780769547077","","https://doi-org.proxy.findit.cvt.dk/10.1109/DCOSS.2012.22;http://dx.doi.org/10.1109/DCOSS.2012.22","10.1109/DCOSS.2012.22","We consider the problem of detecting clones in wireless mobile ad-hoc networks. We assume that one of the devices of the network has been cloned. Everything, including saved passwords, certificates and secret keys. We propose a solution in networks of mobile devices carried by individuals -- composedby nodes that can communicate by short-range technology like bluetooth or Wi-Fi, and links appear and disappear according to social relationships between users. Our idea is to use social physical contacts, securely collected by wireless personal smart phones, as a biometric way to authenticate the owner of the device and detect the clone attack. We introduce two mechanisms: Personal Marks and Community Certificates. Personal Marks is a simple cryptographic protocol that works well when the adversary is an insider, a malicious node in the network that tries to use the stolen credentials in the social community of the original device that has been cloned. Community Certificates works well when the adversary is an outsider, a node that has the goal of using the stolen credentials when interacting with other nodes that are far in the social network from the original device. When combined, these mechanisms provide an excellent protection against this very strong attack. We prove our ideas and solutions with extensive simulations in both simulated and real world scenarios -- with mobility traces collected in a real life experiment.","Delay tolerant networks, pocket switched networks, community authentication, clone detection","","DCOSS '12"
"Conference Paper","Chen J,Yao S,Yuan Q,He K,Ji S,Du R","CertChain: Public and Efficient Certificate Audit Based on Blockchain for TLS Connections","","2018","","","2060–2068","IEEE Press","Honolulu, HI, USA","IEEE INFOCOM 2018 - IEEE Conference on Computer Communications","","2018","","","https://doi-org.proxy.findit.cvt.dk/10.1109/INFOCOM.2018.8486344;http://dx.doi.org/10.1109/INFOCOM.2018.8486344","10.1109/INFOCOM.2018.8486344","In recent years, real-world attacks against PKI take place frequently. For example, malicious domains' certificates issued by compromised CAs are widespread, and revoked certificates are still trusted by clients. In spite of a lot of research to improve the security of SSL/TLS connections, there are still some problems unsolved. On one hand, although log-based schemes provided certificate audit service to quickly detect CAs' misbehavior, the security and data consistency of log servers are ignored. On the other hand, revoked certificates checking is neglected due to the incomplete, insecure and inefficient certificate revocation mechanisms. Further, existing revoked certificates checking schemes are centralized which would bring safety bottlenecks. In this paper, we propose a blockchain-based public and efficient audit scheme for TLS connections, which is called Certchain. Specially, we propose a dependability-rank based consensus protocol in our blockchain system and a new data structure to support certificate forward traceability. Furthermore, we present a method that utilizes dual counting bloom filter (DCBF) with eliminating false positives to achieve economic space and efficient query for certificate revocation checking. The security analysis and experimental results demonstrate that CertChain is suitable in practice with moderate overhead.","","",""
"Conference Paper","Lin HY,Ting PY,Yang LF","On the Security of a Provably Secure Certificateless Strong Designated Verifier Signature Scheme Based on Bilinear Pairings","","2017","","","61–65","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2017 International Conference on Telecommunications and Communication Engineering","Osaka, Japan","2017","9781450353151","","https://doi-org.proxy.findit.cvt.dk/10.1145/3145777.3145784;http://dx.doi.org/10.1145/3145777.3145784","10.1145/3145777.3145784","A strong designated verifier signature (SDVS) is a variation of traditional digital signatures, since it allows a signer to designate an intended receiver as the verifier rather than anyone. To do this, a signer must incorporate the verifier's public key with the signing procedure such that only the intended receiver could verify this signature with his/her private key. Such a signature further enables a designated verifier to simulate a computationally indistinguishable transcript intended for himself. Consequently, no one can identify the real signer's identity from a candidate signer and a designated verifier, which is referred to as the property of signer ambiguity. A strong notion of signer ambiguity states that no polynomial-time adversary can distinguish the real signer of a given SDVS that is not received by the designated verifier, even if the adversary has obtained the signer's private key. In 2013, Islam and Biswas proposed a provably secure certificateless strong designated verifier signature (CL-SDVS) scheme based on bilinear pairings. In this paper, we will demonstrate that their scheme fails to satisfy strong signer ambiguity and must assume a trusted private key generator (PKG). In other words, their CL-SDVS scheme is vulnerable to both key-compromise and malicious PKG attacks. Additionally, we present an improved variant to eliminate these weaknesses.","strong designated verifier, cryptanalysis, certificateless, signer ambiguity, digital signature","","ICTCE '17"
"Journal Article","Malip A,Ng SL,Li Q","A Certificateless Anonymous Authenticated Announcement Scheme in Vehicular Ad Hoc Networks","Sec. and Commun. Netw.","2014","7","3","588–601","John Wiley & Sons, Inc.","USA","","","2014-03","","1939-0114","https://doi-org.proxy.findit.cvt.dk/10.1002/sec.760;http://dx.doi.org/10.1002/sec.760","10.1002/sec.760","Vehicular ad hoc networks provide a safer driving environment by allowing vehicles to broadcast safety related messages and inform neighbouring vehicles regarding traffic and road conditions. Safety can only be achieved if transmission of messages is reliable. However, verification of reliability may violate privacy. On the other hand, it is desirable that malicious or defective vehicles can be identified and revoked. In this paper, we propose a new protocol by using certificateless signature and reputation system to achieve the sometimes contradictory requirements of a reliable, private and accountable vehicular ad hoc network message announcement scheme. Copyright © 2013 John Wiley & Sons, Ltd.","privacy, vehicular ad hoc networks, accountability, reliability","",""
"Conference Paper","Yosaka N,Nishimura I,Nagase T","Authentication and Certificate Managements of Unauthorized Intrusion in Ad-Hoc Networks, Problems and Solutions","","2011","","","646–650","IEEE Computer Society","USA","Proceedings of the 2011 14th International Conference on Network-Based Information Systems","","2011","9780769544588","","https://doi-org.proxy.findit.cvt.dk/10.1109/NBiS.2011.108;http://dx.doi.org/10.1109/NBiS.2011.108","10.1109/NBiS.2011.108","The development of today's wireless technology with its sophisticated devices and applications has attracted many users and becoming more important in their daily life. Ad hoc networks have emerged from this technology to provide new services to mobile users. In contrast with conventional wireless networks, ad hoc networks are not connected to any stationary infrastructure. Furthermore, the mobility functions, such as routing, connection's decisions and security managements, are performed by the nodes themselves independently. Therefore, the security problem for mobile ad hoc networks is becoming one of the major issues that need to be solved. The security of ad hoc networks is based on certification authority (CA) which issues and manages security certificates and public keys for message encryption. This paper introduces a new method of detecting unauthorized intrusion that is used by malicious user who issues a forged certificate to join a group of ad hoc network. This method also eliminates unnecessary certificates exchange among users' nodes to reduce traffic flow inside the network.","certificates management, authentication, ad hoc network, public key certificate","","NBIS '11"
"Journal Article","Li J,Wang Z,Zhang Y","Provably Secure Certificate-Based Signature Scheme without Pairings","Inf. Sci.","2013","233","","313–320","Elsevier Science Inc.","USA","","","2013-06","","0020-0255","https://doi-org.proxy.findit.cvt.dk/10.1016/j.ins.2013.01.013;http://dx.doi.org/10.1016/j.ins.2013.01.013","10.1016/j.ins.2013.01.013","In order to simplify certificate management in traditional public key cryptography and solve the key escrow problem in identity-based cryptography, the notion of certificate-based cryptography was introduced. Recently, Ming and Wang proposed a certificate-based signature scheme without pairings. They claimed that the scheme was existentially unforgeable against adaptive chosen message and identity attacks in the random oracle. In this paper, we show that the scheme is insecure against a malicious certifier under existing security model. We also propose a new efficient certificate-based signature scheme without pairings, which is proven secure in the random oracle model. Compared with the existed certificate-based signature schemes without parings, our scheme enjoys shorter signature length and less operation cost.","Pairing, Random oracle model, Key replacement attack, Certificate-based signature","",""
"Conference Paper","Wang M,Qian C,Li X,Shi S","Collaborative Validation of Public-Key Certificates for IoT by Distributed Caching","","2019","","","847–855","IEEE Press","Paris, France","IEEE INFOCOM 2019 - IEEE Conference on Computer Communications","","2019","","","https://doi-org.proxy.findit.cvt.dk/10.1109/INFOCOM.2019.8737423;http://dx.doi.org/10.1109/INFOCOM.2019.8737423","10.1109/INFOCOM.2019.8737423","Public-key certificate validation is an important building block for various security protocols for IoT devices, such as secure channel establishment, handshaking, verifying sensing data authenticity from cloud storage, and Blockchains. However, certification validation incurs non-trivial overhead on resource-constrained IoT devices, because it either requires long latency or large cache space. This work proposes to utilize the power of distributed caching and explores the feasibility of using the cache spaces on all IoT devices as a large pool to store validated certificates. We design a Collaborative Certificate Validation (CCV) protocol including a memory-efficient and fast locator for certificate holders, a trust model to evaluate the trustworthiness of devices, and a protocol suite for dynamic update and certificate revocation. Evaluation results show that CCV only uses less than 25% validation time and reduces >90% decryption operations on each device, compared to a recent method. Malicious devices that conduct dishonest validations can be detected by the network using the proposed trust model.","","",""
"Journal Article","Wang M,Qian C,Li X,Shi S,Chen S","Collaborative Validation of Public-Key Certificates for IoT by Distributed Caching","IEEE/ACM Trans. Netw.","2021","29","1","92–105","IEEE Press","","","","2021-02","","1063-6692","https://doi-org.proxy.findit.cvt.dk/10.1109/TNET.2020.3029135;http://dx.doi.org/10.1109/TNET.2020.3029135","10.1109/TNET.2020.3029135","Public-key certificate validation is an important building block for various security protocols for IoT devices, such as secure channel establishment, handshaking, and verifying sensing data authenticity from cloud storage. However, certification validation incurs non-trivial overhead on resource-constrained IoT devices, because it either brings long latency or large cache space. This work proposes to utilize the power of distributed caching and explores the feasibility of using the cache spaces on all IoT devices as a large pool to store validated certificates. We design a Collaborative Certificate Validation (CCV) protocol including a memory-efficient and fast locator for certificate holders, a trust model to evaluate the trustworthiness of devices, and a protocol suite for dynamic update and certificate revocation. Evaluation results show that CCV only uses less than 25% validation time and reduces >90% decryption operations on each device, compared to a recent method. Malicious devices that conduct dishonest validations can be detected by the network using the proposed trust model.","","",""
"Journal Article","Islam SK,Obaidat MS","Design of Provably Secure and Efficient Certificateless Blind Signature Scheme Using Bilinear Pairing","Sec. and Commun. Netw.","2015","8","18","4319–4332","John Wiley & Sons, Inc.","USA","","","2015-12","","1939-0114","https://doi-org.proxy.findit.cvt.dk/10.1002/sec.1344;http://dx.doi.org/10.1002/sec.1344","10.1002/sec.1344","In the literature, several pairing-based blind signature schemes have been put forwarded using identity-based cryptography. However, the private key escrow problem of these schemes makes them unsuitable in practical environments because the private key generator computes signer private key using signer public identity. Therefore, an untrusted/semitrusted private key generator may perform malicious activity on behalf of the signer. We took the advantage of certificateless public key cryptography and constructed a robust and efficient certificateless blind signature CL-BS scheme using bilinear pairing. Furthermore, the probabilistic map-to-point hash function, which requires more computation time than the execution time of an elliptic curve scalar point multiplication, is circumvented in our scheme. We found that our scheme is unlinkable and provably secure against the adaptive chosen message and identity adversaries. From the perspective of computational costs, our scheme is more efficient and secure than other related schemes. Copyright © 2015 John Wiley & Sons, Ltd.","hash function, provable security, blind signature, certificateless public key cryptography, Bilinear pairing","",""
"Conference Paper","Luo M,Zou CH,Xu J","Certificateless Broadcast Signcryption with Forward Secrecy","","2011","","","910–914","IEEE Computer Society","USA","Proceedings of the 2011 Seventh International Conference on Computational Intelligence and Security","","2011","9780769545844","","https://doi-org.proxy.findit.cvt.dk/10.1109/CIS.2011.205;http://dx.doi.org/10.1109/CIS.2011.205","10.1109/CIS.2011.205","Certificate less cryptography achieves the best of the two worlds: it inherits from identity-based techniques a solution to the certificate management problem in public-key encryption, whilst removing the secret key escrow functionality inherent to the identity-based setting. Broadcast signcryption, which enables the broadcaster to simultaneously encrypt and sign the content meant for a specific set of users in a single logical step, provides the most efficient solution to this dual problem of confidentiality and authentication. In this paper, we first construct a certificate less broadcast signcryption scheme and show that the proposed scheme is secure against an uncertified user and a malicious trusted authority simultaneously under the Diffie-Hellman assumptions in the random oracle. Moreover, our scheme satisfies register authentication and forward secrecy security attributes. As compared with the recently proposed broadcast signcryption schemes, our scheme has better performance in term of the security and computation overheads.","random oracle, broadcast signcryption, certificateless cryptography, forward secrecy","","CIS '11"
"Journal Article","Tsai JL,Lo NW,Wu TC","Weaknesses and Improvements of an Efficient Certificateless Signature Scheme without Using Bilinear Pairings","Int. J. Commun. Syst.","2014","27","7","1083–1090","John Wiley and Sons Ltd.","GBR","","","2014-07","","1074-5351","https://doi-org.proxy.findit.cvt.dk/10.1002/dac.2388;http://dx.doi.org/10.1002/dac.2388","10.1002/dac.2388","The certificateless signature CLS scheme is a special signature scheme that solves the key escrow problem in identity-based signature schemes. In CLS schemes, the private key is generated cooperatively by the key generator center KGC and signer, such that a malicious KGC cannot masquerade as the signer and sign a message. He et al. in 2011 proposed an efficient CLS scheme without using bilinear pairings. However, we discovered that the CLS scheme by He et al. cannot resist a strong type 2 adversary if this adversary replaces the master public key of the KGC. This work proposes an improved scheme that overcomes this weakness. Copyright © 2012 John Wiley & Sons, Ltd.","key generator center KGC, certificateless signature, key escrow problem, identity-based","",""
"Journal Article","Xiong H,Li F,Qin Z","Certificateless Threshold Signature Secure in the Standard Model","Inf. Sci.","2013","237","","73–81","Elsevier Science Inc.","USA","","","2013-07","","0020-0255","https://doi-org.proxy.findit.cvt.dk/10.1016/j.ins.2010.06.010;http://dx.doi.org/10.1016/j.ins.2010.06.010","10.1016/j.ins.2010.06.010","Threshold signature is an extension of the standard signature, in which several signers may be required to cooperatively sign messages for sharing the responsibility and authority. Certificateless cryptography eliminates the need of certificates in the Public Key Infrastructure and solves the inherent key-escrow problem in the Identity-based (ID-based) cryptography. In this paper, we propose a certificateless threshold signature scheme with concrete implementation which is provably secure in the standard model. Furthermore, this scheme is proven secure against the malicious-but-passive KGC attack. To the best of author's knowledge, this is the first construction of certificateless threshold signature scheme that does not rely on random oracle or ideal ciphers.","Certificateless cryptography, Provable security, Standard model, Threshold signature","",""
"Conference Paper","Xiong H,Qin Z,Li F","Simulatability and Security of Certificateless Threshold Signatures without Random Oracles","","2008","","","308–313","IEEE Computer Society","USA","Proceedings of the 2008 International Conference on Computational Intelligence and Security - Volume 02","","2008","9780769535081","","https://doi-org.proxy.findit.cvt.dk/10.1109/CIS.2008.104;http://dx.doi.org/10.1109/CIS.2008.104","10.1109/CIS.2008.104","The idea of threshold cryptography is to distribute secret information and computation among multi parties in order to prevent a single point of failure or abuse. Certificateless Public Key Cryptography(CL-PKC) does not require certificates to guarantee the authority of public keys while avoids the inherent key escrow of Identity-based Cryptography(IBC). In this paper, we propose a certificateless threshold signature scheme with concrete implementation which is probably secure in the standard model. Furthermore, this scheme is proven secure against the malicious-but-passive KGC attack. To the best of authors' knowledge, this is the first construction of certificateless threshold signature scheme that does not rely on random oracle or ideal ciphers.","","","CIS '08"
"Conference Paper","Cui M,Cao Z,Xiong G","How Is the Forged Certificates in the Wild: Practice on Large-Scale SSL Usage Measurement and Analysis","","2018","","","654–667","Springer-Verlag","Berlin, Heidelberg","Computational Science – ICCS 2018: 18th International Conference, Wuxi, China, June 11–13, 2018 Proceedings, Part III","Wuxi, China","2018","9783319937120","","https://doi-org.proxy.findit.cvt.dk/10.1007/978-3-319-93713-7_62;http://dx.doi.org/10.1007/978-3-319-93713-7_62","10.1007/978-3-319-93713-7_62","Forged certificate is a prominent issue in the real world deployment of SSL/TLS - the most widely used encryption protocols for Internet security, which is typically used in man-in-the-middle (MITM) attacks, proxies, anonymous or malicious services, personal or temporary services, etc. It wrecks the SSL encryption, leading to privacy leakage and severe security risks. In this paper, we study forged certificates in the wild based on a long term large scale passive measurement. With the combination of certificate transparency (CT) logs and our measurement results, nearly 3 million forged certificates against the Alexa Top 10K sites are identified and studied. Our analysis reveals the causes and preference of forged certificates, as well as several significant differences from the benign ones. Finally, we discover several IP addresses used for MITM attacks by forged certificate tracing and deep behavior analysis. We believe our study can definitely contribute to research on SSL/TLS security as well as real world protocol usage.","SSL MITM, Forged certificate, Passive measurement","",""
"Journal Article","Xiang D,Li X,Gao J,Zhang X","A Secure and Efficient Certificateless Signature Scheme for Internet of Things","Ad Hoc Netw.","2022","124","C","","Elsevier Science Publishers B. V.","NLD","","","2022-01","","1570-8705","https://doi-org.proxy.findit.cvt.dk/10.1016/j.adhoc.2021.102702;http://dx.doi.org/10.1016/j.adhoc.2021.102702","10.1016/j.adhoc.2021.102702","","Certificateless signatures, Authentication, Provably secure, Internet of Things (IoT)","",""
"Journal Article","Zhou C,Gao G,Cui Z","Certificateless Signcryption in the Standard Model","Wirel. Pers. Commun.","2017","92","2","495–513","Kluwer Academic Publishers","USA","","","2017-01","","0929-6212","https://doi-org.proxy.findit.cvt.dk/10.1007/s11277-016-3554-8;http://dx.doi.org/10.1007/s11277-016-3554-8","10.1007/s11277-016-3554-8","Signcryption can realize encryption and signature simultaneously with lower computational costs and communicational overheads than those of the traditional sign-then-encrypt approach. Certificateless cryptosystem solves the key escrow problem in the identity-based cryptosystem and simplifies the public key management in the traditional public key cryptosystem. There have been some certificateless signcryption schemes proposed in the standard model up to now, but all of them are just proposed in a weaker Type I security model, which is weaker than the original security model of Barbosa and Farshim, who proposed the first certificateless signcryption scheme. In this paper, we propose a certificateless signcryption scheme in the standard model by using bilinear pairings, which is Type I secure in the original security model of Barbosa and Farshim and can resist the malicious-but-passive key generation center Type II attack. The proposed scheme is proved confidential assuming the modified decisional bilinear Diffie---Hellman (M-DBDH) problem is hard, and unforgeable assuming the square computational Diffie---Hellman (Squ-CDH) problem is hard. At last, we evaluate its efficiency which shows it is of high efficiency.","Certificateless signcryption, Bilinear pairing, 94A60, Signcryption, Standard model, Malicious-but-passive KGC attack","",""
"Conference Paper","Saxena N","Public Key Cryptography sans Certificates in Ad Hoc Networks","","2006","","","375–389","Springer-Verlag","Berlin, Heidelberg","Proceedings of the 4th International Conference on Applied Cryptography and Network Security","Singapore","2006","9783540347033","","https://doi-org.proxy.findit.cvt.dk/10.1007/11767480_26;http://dx.doi.org/10.1007/11767480_26","10.1007/11767480_26","Several researchers have proposed the use of threshold cryptographic model to enable secure communication in ad hoc networks without the need of a trusted center. In this model, the system remains secure even in the presence of a certain threshold t of corrupted/malicious nodes.In this paper, we show how to perform necessary public key operations without node-specific certificates in ad hoc networks. These operations include pair-wise key establishment, signing, and encryption. We achieve this by using Feldman's verifiable polynomial secret sharing (VSS) as a key distribution scheme and treating the secret shares as the private keys. Unlike in the standard public key cryptography, where entities have independent private/public key pairs, in the proposed scheme the private keys are related (they are points on a polynomial of degree t) and each public key can be computed from the public VSS information and node identifier. We show that such related keys can still be securely used for standard signature and encryption operations (using resp. Schnorr signatures and ElGamal encryption) and for pairwise key establishment, as long as there are no more that t collusions/corruptions in the system.The proposed usage of shares as private keys can also be viewed as a threshold-tolerant identity-based cryptosystem under standard (discrete logarithm based) assumptions.","","","ACNS'06"
